KD-Nr.;Firma;Land;PLZ;Ort;UmsatzKL;Verk.;SP;SP2;Bl;Umsatz AJ;Umsatz VJ;Umsatz VVJ;l Besuch;UK;PN1;PN2;NKEB;WV;WV u;QB;VP
130.743;fyadgbkjywqebbptyr;DE;83395;Fürth;;21;;;;;;;20.04.2015;;;;;;;;
130.744;msi;DE;72669;Rotenburg;;3;;;;;;;;;;;;;;;
130.745;qfcgrkqqmndot;DE;85405;Oberding;;21;;;;;;;;;;;;;;;
130.746;hrchk;DE;6237;Lich;;44;;;;;;;05.08.2013;;;;;;;;
130.747;lmmbcmrjenqvemm;DE;6449;Niestetal;;44;;;;;;;;;;;;;;;
130.748;cfi;DE;74336;Mülheim an der Ruhr;;33;;;;;;;04.09.2012;;;;;;;;
130.749;kxqgtdewtciptcxgb;DE;25569;Grassau;;5;;;;;;;;;;;;;;;
130.750;oosldyqmlayujc;DE;35435;Neustadt;;7;;;;;;;;;;;;;;;
130.751;tpvcqmy;DE;60318;Straubing;;7;;;;;;;19.07.2010;;;;;;;;
130.752;mubv;DE;42499;München;;16;;;;;;;18.06.2012;;;;;;;;
130.753;hllkopckux;DE;16321;Rheinsberg;;17;;;;;;;;;;;;;;;
130.754;ifacmsi;DE;6120;Wildeck;;44;;;;;;;07.06.2011;;;;;;;;
130.755;vhodbovymczwlcpqtv;DE;9125;Tbilisi;;44;;;;;;;06.06.2012;;;;;;;;
130.756;mwovoxxjowqqitq;DE;59872;Waren;;4;;;;;;;17.04.2013;;;;;;;;
130.757;qcy;DE;74523;Emmendingen;;33;;;;;;;06.09.2011;;;;;;;;
130.758;zaygljbbmlqs;DE;76530;Willich;;2;;;;;;;;;;;;;;;
130.759;lmvmldisenslvy;DE;81541;Zweibrücken;;21;;;;;;;;;;;;;;;
130.760;wvepjbwpi;DE;76137;Hammelburg;;6;;;;;;;;;;;;;;;
130.761;jfnolrihtwqzpcd;DE;17389;Bochum;;5;;;;;;;02.03.2015;;;;;;;;
130.762;yxyac;DE;1458;Oberursel;;44;;;;;;;23.04.2014;;;;;;;;
130.763;pymmbbmvasba;DE;91058;Pirna;;10;;;;;;;;;;;;;;;
130.764;hyyjeyrrhdb;DE;36251;Delmenhorst;;7;;;;;;;;;;;;;;;
130.765;lciffqzhljjfp;DE;76133;Bad Münstereifel;;6;;;;;;;;;;;;;;;
130.768;fsnz;DE;72475;Wehrheim;;3;;;;;;;;;;;;;;;
130.769;agezxnchpdpitc;DE;31157;Horn-Bad Meinberg;;12;;;;;;;11.11.2013;;;;;;;;
130.770;tcgwcrpidc;DE;25469;Gütersloh;;5;;;;;;;18.06.2014;;;;;;;;
130.771;rraf;DE;36367;Karlsruhe;;7;;;;;;;;;;;;;;;
130.772;foqemjmwolbtulrg;DE;56862;Neuss;;14;;;;;;;20.07.2010;;;;;;;;
130.773;puq;DE;30880;Laatzen;;8;;;;;;;;;;;;;;;
130.774;wjcgyyghratyseqbso;DE;32584;Lengerich;;8;;;;;;;02.04.2015;;;;;;;;
130.775;sghqfossrq;DE;23552;Claußnitz;;5;;;;;;;10.12.2014;;;;;;;;
130.776;q;DE;48159;Haan;;8;;;;;;;11.05.2015;;;;;;;;
130.777;ecaau;DE;48163;Oberndorf in Tirol;;8;;;;;;;27.10.2010;;;;;;;;
130.778;meelcqirfyyfbeqbc;DE;45130;Hofheim;;16;;;;;;;05.02.2015;;;;;;;;
130.779;nsglh;DE;73734;St. Michaelisdonn;;33;;;;;;;;;;;;;;;
130.781;xzfdtuuwhdexl;DE;36251;Wolfach;;11;;;;;;;16.02.2011;;;;;;;;
130.782;igksvbpolaqenz;DE;85356;Lünen;;21;;;;;;;31.01.2012;;;;;;;;
130.783;xfndngthazgdhhpqt;DE;81379;Darmstadt;;21;;;;;;;28.04.2015;;;;;;;;
130.784;onnjqv;DE;67346;Frederiksberg;;6;;;;;;;;;;;;;;;
130.786;gzodlbro;DE;63741;Gemünden;;6;;;;;;;12.04.2011;;;;;;;;
130.787;hshdqijjg;DE;40549;Hermannsburg;;9;;;;;;;13.04.2011;;;;;;;;
130.788;aaxwkkyyltxwmyn;DE;70378;Schongau;;33;;;;;;;;;;;;;;;
130.789;tcuwhyavcvjp;DE;38350;Bischofswerda;;12;;;;;;;14.02.2011;;;;;;;;
130.790;dwidoghfjpmtaoo;DE;41460;Hanau;;9;;;;;;;23.10.2013;;;;;;;;
130.791;ksk;DE;7745;Rotthalmünster;;44;;;;;;;02.05.2011;;;;;;;;
130.792;zxzikfadhpiolgskua;DE;34134;Osterburg;;11;;;;;;;;;;;;;;;
130.793;gzkbjfjyqptjevs;DE;14471;Ribnitz-Damgarten;;17;;;;;;;20.04.2012;;;;;;;;
130.794;wwjokoddhjnqqxhpc;DE;58455;Kamen;;4;;;;;;;15.02.2012;;;;;;;;
130.795;ykzhhmze;DE;84453;Bielefeld;;21;;;;;;;07.12.2010;;;;;;;;
130.796;chmmwjswyxku;DE;66333;Neuses;;2;;;;;;;04.05.2015;;;;;;;;
130.797;ph;DE;45884;Jüchen;;19;;;;;;;17.02.2011;;;;;;;;
130.798;wsxwwdppvriqtu;DE;71332;Berlin;;33;;;;;;;19.09.2012;;;;;;;;
130.799;ecayo;DE;97070;Berngau;;10;;;;;;;15.12.2010;;;;;;;;
130.880;glkhyhapqvktkmtk;DE;74564;Offenbach am Main;;33;;;;;;;17.04.2013;;;;;;;;
130.881;vqqgl;DE;25474;Mainhardt;;5;;;;;;;21.04.2015;;;;;;;;
130.882;ajvg;DE;45357;Ludwigshafen;;16;;;;;;;05.05.2015;;;;;;;;
130.883;lbqjwpysn;DE;45711;Schweinfurt;;19;;;;;;;18.03.2015;;;;;;;;
130.884;ecmvespaddz;DE;60439;Villach;;7;;;;;;;;;;;;;;;
130.885;bezkvfyg;DE;44866;Salzburg;;19;;;;;;;07.11.2012;;;;;;;;
130.886;fqyh;DE;38547;Viersen;;12;;;;;;;28.01.2015;;;;;;;;
130.887;mevludxvxrsgenpgs;DE;26954;Gelsenkirchen;;15;;;;;;;05.10.2011;;;;;;;;
130.888;fuzxhuggbwzpapap;DE;30655;Heppenheim;;8;;;;;;;;;;;;;;;
130.889;jbcmyfhqx;DE;73441;Weinheim;;33;;;;;;;;;;;;;;;
130.890;mrijddsc;DE;69120;Karlsruhe;;6;;;;;;;;;;;;;;;
130.891;peqtt;DE;78647;Hengersberg;;3;;;;;;;;;;;;;;;
130.893;scbuv;DE;52353;Kalletal;;14;;;;;;;23.02.2015;;;;;;;;
130.894;hieabiriotsbuisgpy;DE;41363;Soltau;;9;;;;;;;;;;;;;;;
130.895;etoaehciikngrmqy;DE;48282;Tel Aviv;;8;;;;;;;;;;;;;;;
130.896;wkepmvurx;DE;34613;Wuppertal;;11;;;;;;;;;;;;;;;
130.897;gtwlm;DE;22303;Regenstauf ;;5;;;;;;;18.09.2014;;;;;;;;
130.898;jmpim;DE;32257;Göttingen;;8;;;;;;;07.05.2015;;;;;;;;
130.899;gfhxwfyigfhwnsezn;DE;69120;Kiel;;6;;;;;;;;;;;;;;;
130.900;ic;DE;60313;Wolfen;;7;;;;;;;05.08.2010;;;;;;;;
130.901;fiwoxxpyxccqkuj;DE;85435;Lauterbach;;21;;;;;;;;;;;;;;;
130.902;altufwazexwnysyct;DE;81829;Meppen;;21;;;;;;;21.02.2013;;;;;;;;
130.903;bnhwpctpphqxiwzp;DE;38518;Bad Schwartau;;12;;;;;;;18.02.2015;;;;;;;;
130.904;ajrzfxxhrbjlzhf;DE;34225;Aachen;;11;;;;;;;;;;;;;;;
130.905;zex;DE;74348;Oldenburg;;33;;;;;;;;;;;;;;;
130.906;kzeiqx;DE;10719;Kassel;;98;;;;;;;29.09.2010;;;;;;;;
130.907;foygerhksuga;DE;24217;München;;5;;;;;;;13.06.2012;;;;;;;;
130.908;kpecmoeyfeaamsttf;DE;6388;Garching;;44;;;;;;;07.05.2015;;;;;;;;
130.909;dwkqyzeoqk;DE;59484;Berlin;;4;;;;;;;17.01.2011;;;;;;;;
130.910;ywzjc;DE;30890;Duisburg;;8;;;;;;;27.03.2015;;;;;;;;
130.911;stnklx;DE;65549;Graz-Andritz;;7;;;;;;;;;;;;;;;
130.912;gbzxji;DE;55237;Großbreitenbach;;7;;;;;;;10.10.2013;;;;;;;;
130.913;ddndibzy;DE;53879;Lorsch;;14;;;;;;;30.03.2015;;;;;;;;
130.914;zzsg;DE;76137;Hockenheim;;6;;;;;;;;;;;;;;;
130.915;oihn;DE;51065;Berlin;;14;;;;;;;;;;;;;;;
130.916;kkedzupk;DE;51145;Rheine;;16;;;;;;;04.06.2013;;;;;;;;
130.917;xnis;DE;88131;Gießen;;22;;;;;;;18.03.2014;;;;;;;;
130.918;sypkiyuezqwl;DE;44579;Brandenburg an der Havel;;19;;;;;;;08.10.2010;;;;;;;;
130.919;wolfwqgvjasljobw;DE;34596;Osnabrück;;11;;;;;;;10.03.2011;;;;;;;;
130.920;qznjnmafkdmv;DE;37627;Düren;;12;;;;;;;31.03.2011;;;;;;;;
130.921;falonepmhfhad;DE;37603;Altenburg;;11;;;;;;;11.12.2013;;;;;;;;
130.922;fardcflszvibxaljrd;DE;19258;Aachen;;5;;;;;;;;;;;;;;;
130.923;qibcjedkeibf;DE;72074;Osnabrück;;3;;;;;;;;;;;;;;;
130.924;oi;DE;71686;Zweibrücken;;33;;;;;;;29.01.2015;;;;;;;;
130.925;kwvkcyli;DE;6118;Werl;;44;;;;;;;26.11.2012;;;;;;;;
130.926;dvhgvrpoxckrivi;DE;46348;Rödinghausen;;19;;;;;;;19.07.2012;;;;;;;;
130.927;ldvejzakoe;DE;52372;Grimma;;14;;;;;;;08.04.2013;;;;;;;;
130.928;sagcnbnaxqqcdbp;DE;31061;München;;60;;;;;;;;;;;;;;;
130.929;pbywewakiobegppjw;DE;39576;Moorenweis;;12;;;;;;;31.03.2011;;;;;;;;
130.930;qdrnffwovykplkk;DE;38100;Saarbrücken;;12;;;;;;;05.05.2015;;;;;;;;
130.931;amyykzvfyjijptmw;DE;92224;Samerberg;;10;;;;;;;01.07.2013;;;;;;;;
130.932;yfxyyfwtwolkj;DE;36414;Osnabrück;;11;;;;;;;05.09.2013;;;;;;;;
130.933;vgquonevrempaec;DE;77694;Lauingen;;3;;;;;;;14.04.2015;;;;;;;;
130.934;ewemauarxjrvcpepxj;DE;38440;Gumtow;;12;;;;;;;16.07.2012;;;;;;;;
130.935;yzam;DE;79100;Berlin;;3;;;;;;;20.03.2015;;;;;;;;
130.936;epkimo;DE;53177;Delmenhorst;;14;;;;;;;08.08.2014;;;;;;;;
130.937;sssefupepkqzfou;DE;53225;Reutlingen;;14;;;;;;;06.06.2013;;;;;;;;
130.938;tmwqjnwxmnozenase;DE;81479;Korschenbroich;;21;;;;;;;;;;;;;;;
130.939;wqslcxpwy;DE;45657;Bad Wildungen;;19;;;;;;;19.12.2012;;;;;;;;
130.940;kqac;DE;35325;Weisen;;7;;;;;;;15.12.2014;;;;;;;;
130.941;htvcmrgssczuisuq;DE;30989;Torrevieja / Spanien;;8;;;;;;;07.02.2012;;;;;;;;
130.942;tc;DE;38100;Memmingen;;12;;;;;;;04.05.2015;;;;;;;;
130.943;jiyoafknqll;DE;45219;Freiburg;;16;;;;;;;22.04.2015;;;;;;;;
130.944;kjmrsgtjh;DE;81829;Freiburg;;21;;;;;;;13.07.2011;;;;;;;;
130.945;jexnwdamczkllzcj;DE;25421;Hamburg;;5;;;;;;;27.03.2015;;;;;;;;
130.946;jfwgwg;DE;56235;Aachen;;90;;;;;;;;;;;;;;;
130.947;kp;DE;1904;Mechernich;;44;;;;;;;21.07.2014;;;;;;;;
130.949;efewphlqzkr;DE;47179;Oldenburg ;;19;;;;;;;09.07.2013;;;;;;;;
130.950;v;DE;1844;Bad Homburg;;44;;;;;;;;;;;;;;;
130.951;zk;DE;71287;Düsseldorf;;33;;;;;;;;;;;;;;;
130.952;npvfjqtiogyxfoqlug;DE;14532;Wilhelmshaven;;17;;;;;;;;;;;;;;;
130.953;rthsdfxwlytkpua;DE;96052;Lenggries;;10;;;;;;;01.12.2010;;;;;;;;
130.954;wzqno;DE;45329;Kiel;;16;;;;;;;06.05.2015;;;;;;;;
130.955;nhdcmpegnfgl;DE;57610;Schwäbisch Gmünd;;4;;;;;;;02.04.2015;;;;;;;;
130.957;vamitqeujwfxhvb;DE;64354;Neustadt;;6;;;;;;;;;;;;;;;
130.958;pgapmhkmgppkmsuq;DE;59199;Aachen;;4;;;;;;;06.07.2012;;;;;;;;
130.959;xkhsleycidmizbxzi;DE;10555;Solingen;;17;;;;;;;;;;;;;;;
130.960;tuqykher;DE;56204;Hamburg;;14;;;;;;;29.10.2014;;;;;;;;
130.961;mcp;DE;1900;Chemnitz;;44;;;;;;;;;;;;;;;
130.962;qhzwgqqmlgcdjxiyaq;DE;65549;Konstanz;;7;;;;;;;15.09.2014;;;;;;;;
130.963;wcphifigc;DE;58452;Leibnitz;;16;;;;;;;06.05.2015;;;;;;;;
130.965;nwtdbrcomewpw;DE;82515;Northeim;;22;;;;;;;02.05.2012;;;;;;;;
130.966;nghwm;DE;39164;Eschborn;;12;;;;;;;01.04.2011;;;;;;;;
130.967;wqhvugpfypjsi;DE;30159;Velden;;8;;;;;;;26.05.2011;;;;;;;;
130.968;bzfu;DE;2826;Stralsund;;44;;;;;;;11.11.2014;;;;;;;;
130.969;yhfgbfqstjdsbbbu;DE;97714;Geyer;;6;;;;;;;20.04.2012;;;;;;;;
130.970;gejdoyesyzapd;DE;95444;Neulengebach;;10;;;;;;;;;;;;;;;
130.971;lvlryknj;DE;56564;Ettlingen;;14;;;;;;;12.02.2015;;;;;;;;
130.972;erb;DE;26135;Wolgast;;15;;;;;;;27.04.2015;;;;;;;;
130.973;cgjtxjgtrwqi;DE;94133;Visbek;;21;;;;;;;06.07.2011;;;;;;;;
130.974;p;DE;38889;Halle;;12;;;;;;;;;;;;;;;
130.975;snljw;DE;71638;Stuttgart;;33;;;;;;;;;;;;;;;
130.976;objbet;DE;42855;Frankfurt;;16;;;;;;;07.05.2014;;;;;;;;
130.977;fblquaf;DE;47574;Gütersloh;;9;;;;;;;15.11.2010;;;;;;;;
130.978;phfzaxrq;DE;53424;Dormagen;;14;;;;;;;24.04.2015;;;;;;;;
130.979;kcl;DE;58093;Durach;;60;;;;;;;;;;;;;;;
130.981;kfhpcduwyu;DE;53125;Neuenstein;;14;;;;;;;08.07.2013;;;;;;;;
130.982;feqslzbkudetpencsz;DE;20539;Belm;;5;;;;;;;13.04.2015;;;;;;;;
130.983;h;DE;48691;Gmünden;;8;;;;;;;01.04.2015;;;;;;;;
130.984;zrxpt;DE;90408;Dresden;;10;;;;;;;26.10.2010;;;;;;;;
130.985;vgovehqbhhzhehs;DE;53125;Köln;;14;;;;;;;30.11.2010;;;;;;;;
130.986;kbae;DE;72250;Mettmann;;3;;;;;;;;;;;;;;;
130.987;bnjczmyehek;DE;73430;Cottbus;;33;;;;;;;18.02.2015;;;;;;;;
130.988;sx;DE;33605;Spital;;8;;;;;;;;;;;;;;;
130.989;hltkiib;DE;40213;Neumarkt;;9;;;;;;;21.04.2015;;;;;;;;
130.990;yvzjdatogrekardbdi;DE;91154;Dresden;;10;;;;;;;;;;;;;;;
130.991;usanoolyxvqwufwca;DE;82041;Frankfurt;;22;;;;;;;29.11.2013;;;;;;;;
130.992;movhycyxh;DE;85716;Duisburg;;21;;;;;;;28.02.2012;;;;;;;;
130.993;zxrsnj;DE;53773;Ostfildern;;14;;;;;;;;;;;;;;;
130.994;gmcgerslgnviq;DE;92272;Drolshagen;;10;;;;;;;;;;;;;;;
130.995;myartfhjsdy;DE;53227;Kemnath;;14;;;;;;;;;;;;;;;
130.996;alpsgko;DE;53578;Winterberg;;14;;;;;;;11.11.2010;;;;;;;;
130.997;fbcagpxyebfgcc;DE;36205;Alfeld;;11;;;;;;;07.06.2013;;;;;;;;
130.998;tim;DE;97509;Oldenburg;;10;;;;;;;;;;;;;;;
130.999;bymutzodoefvjkzxu;DE;40210;Grosbous;;9;;;;;;;18.03.2015;;;;;;;;
131.000;tmxlfc;DE;87637;Weiden;;21;;;;;;;;;;;;;;;
131.001;clmk;DE;10437;Bremen;;17;;;;;;;;;;;;;;;
131.002;yukgaovfbrraplxcgq;DE;79674;München;;3;;;;;;;29.10.2014;;;;;;;;
131.003;cxsytexezih;DE;44869;Remshalden;;19;;;;;;;16.02.2012;;;;;;;;
131.004;hgzeeo;DE;48727;Bad König;;8;;;;;;;;;;;;;;;
131.005;goker;DE;35444;Sögel;;7;;;;;;;;;;;;;;;
131.006;cwb;DE;55452;Nettersheim;;7;;;;;;;21.03.2013;;;;;;;;
131.007;yniskvvp;DE;4442;Hamm, Westf;;44;;;;;;;22.10.2014;;;;;;;;
131.008;syubmqriwikrrsxdoo;DE;53115;Gießen;;14;;;;;;;04.11.2010;;;;;;;;
131.009;uuvdpz;DE;56235;Hamburg;;60;;;;;;;;;;;;;;;
131.010;hccrghlgj;DE;38108;Heidenau;;12;;;;;;;08.06.2012;;;;;;;;
131.011;p;DE;45277;Kaufbeuren;;16;;;;;;;04.06.2011;;;;;;;;
131.012;rogvgdgjjil;DE;30173;Berlin;;8;;;;;;;;;;;;;;;
131.013;jilhmitbetpc;DE;55543;Bad Tölz;;2;;;;;;;20.07.2011;;;;;;;;
131.014;rv;DE;33142;Bockenem;;8;;;;;;;;;;;;;;;
131.015;ikucof;DE;97218;Wolfurt;;10;;;;;;;07.11.2013;;;;;;;;
131.016;mxjiynaywgukg;DE;88045;Bernburg;;22;;;;;;;05.03.2014;;;;;;;;
131.017;qxff;DE;65551;Ingelheim;;7;;;;;;;11.02.2015;;;;;;;;
131.018;vgicyiseshemzcu;DE;90489;Köln;;10;;;;;;;;;;;;;;;
131.019;bqgipuzphguaff;DE;1324;Bremerhaven;;21;;;;;;;;;;;;;;;
131.020;lrsrisx;DE;92507;Straubing;;10;;;;;;;21.01.2015;;;;;;;;
131.021;sfa;DE;45879;Kiel;;19;;;;;;;18.06.2012;;;;;;;;
131.022;kr;DE;61194;Stuttgart;;7;;;;;;;27.05.2013;;;;;;;;
131.023;dllgrpxfixj;DE;68519;Stoke on Trent;;6;;;;;;;23.04.2013;;;;;;;;
131.024;rza;DE;40547;Bremen;;9;;;;;;;27.01.2011;;;;;;;;
131.025;xivdfmulfexhjtd;DE;91541;Pfullingen;;10;;;;;;;;;;;;;;;
131.026;jlegyrx;DE;1324;Uelzen;;44;;;;;;;14.12.2011;;;;;;;;
131.027;nopcpwrasjleyui;DE;9405;Friedberg;;44;;;;;;;17.07.2012;;;;;;;;
131.028;qhchy;DE;67547;Offenbach;;6;;;;;;;26.11.2012;;;;;;;;
131.029;tmdvrtfxqbj;DE;59519;Gottmadingen;;90;;;;;;;;;;;;;;;
131.030;eftemtbtecnnsj;DE;31832;Neulußheim;;8;;;;;;;08.10.2013;;;;;;;;
131.031;erjyiztqqgdjoetsf;DE;91054;Fürth;;10;;;;;;;;;;;;;;;
131.032;xlnbsxu;DE;86633;Böblingen;;22;;;;;;;29.02.2012;;;;;;;;
131.033;tumpds;DE;80538;Göttingen;;21;;;;;;;14.01.2011;;;;;;;;
131.034;samlewhgywkypifqum;DE;7548;Innsbruck;;44;;;;;;;02.10.2012;;;;;;;;
131.035;gjwxqmqyfoqdo;DE;91550;Skaup;;10;;;;;;;04.11.2014;;;;;;;;
131.036;axhjaqir;DE;51067;Münster;;16;;;;;;;24.07.2012;;;;;;;;
131.037;rdkx;DE;53879;Schmiedefeld;;14;;;;;;;29.09.2011;;;;;;;;
131.038;v;DE;40229;Köln;;9;;;;;;;;;;;;;;;
131.039;aql;DE;32278;Berlin;;8;;;;;;;08.07.2014;;;;;;;;
131.040;gh;DE;67454;Lampertheim;;2;;;;;;;;;;;;;;;
131.041;fbcjtif;DE;73642;Crimmitschau;;32;;;;;;;;;;;;;;;
131.042;czxfbiv;DE;55294;München;;7;;;;;;;16.12.2014;;;;;;;;
131.043;l;DE;13509;Herborn;;17;;;;;;;;;;;;;;;
131.044;vktrmmghhljnf;DE;48527;Castrop-Rauxel;;8;;;;;;;13.05.2013;;;;;;;;
131.045;hukhvlghnrnlr;DE;50765;Halblech;;16;;;;;;;24.10.2011;;;;;;;;
131.046;lzi;DE;90765;Schonach;;10;;;;;;;;;;;;;;;
131.047;pzfnljdjpxaitlcdwi;DE;83278;Hamburg;;21;;;;;;;29.11.2011;;;;;;;;
131.048;bcqnd;DE;86473;Berlin;;22;;;;;;;;;;;;;;;
131.049;mqcl;DE;55411;Rüsselsheim;;2;;;;;;;18.04.2013;;;;;;;;
131.050;b;DE;55116;Krefeld;;7;;;;;;;21.11.2012;;;;;;;;
131.051;asoglbrvnjxeydnmq;DE;91236;Hamburg;;10;;;;;;;;;;;;;;;
131.052;bxeezggpmefcaoxmp;DE;81545;Tuttlingen;;21;;;;;;;24.01.2014;;;;;;;;
131.053;wzxweggfvk;DE;56235;Sendenhorst;;60;;;;;;;;;;;;;;;
131.054;fhubmda;DE;65779;Ritterhude;;7;;;;;;;08.09.2014;;;;;;;;
131.055;qrwwquwhdofdpiybjz;DE;21029;Zimmern ob Rottweil;;5;;;;;;;03.03.2015;;;;;;;;
131.056;wfm;DE;57610;Neubulach;;14;;;;;;;02.04.2015;;;;;;;;
131.058;zojmdwbj;DE;33647;Wuppertal                ;;8;;;;;;;;;;;;;;;
131.059;ncnutcfvcfkhflf;DE;28816;München;;15;;;;;;;06.07.2012;;;;;;;;
131.060;jw;DE;65582;Böblingen;;90;;;;;;;14.05.2013;;;;;;;;
131.061;bbartbzrvlpmqi;DE;33602;Waiblingen;;8;;;;;;;16.08.2013;;;;;;;;
131.062;itnnjeyvcaiggpdg;DE;74076;Uplengen;;33;;;;;;;;;;;;;;;
131.063;oujrpzmjtnjwa;DE;89073;Waldkraiburg;;22;;;;;;;;;;;;;;;
131.064;iuzjsmccj;DE;30159;Eilenburg;;8;;;;;;;;;;;;;;;
131.065;majhmunckagtjl;DE;30952;Ahaus;;8;;;;;;;;;;;;;;;
131.066;xjzzoazmqljzlwtjc;DE;72622;Berlin;;3;;;;;;;;;;;;;;;
131.067;hlelvbgq;DE;65183;Dortmund;;7;;;;;;;02.02.2011;;;;;;;;
131.068;uvjavck;DE;66953;Rüsselsheim;;2;;;;;;;28.10.2014;;;;;;;;
131.069;aplcxhceehqpuu;DE;76227;Budapest;;6;;;;;;;22.11.2012;;;;;;;;
131.070;n;DE;27389;Seeheim-Jugenheim;;15;;;;;;;;;;;;;;;
131.072;fawcvfnosgwl;DE;67098;Crivitz;;6;;;;;;;;;;;;;;;
131.073;rmpzceh;DE;65549;Donaueschingen;;7;;;;;;;;;;;;;;;
131.074;gymrv;DE;46325;Kölleda;;19;;;;;;;16.03.2011;;;;;;;;
131.075;zezjsujjsg;DE;8527;Braunschweig;;44;;;;;;;12.04.2011;;;;;;;;
131.076;zar;DE;35315;Euskirchen;;7;;;;;;;;;;;;;;;
131.077;gqhlahs;DE;35041;München;;90;;;;;;;19.12.2011;;;;;;;;
131.078;gmmrcnllqsyb;DE;53913;Bacharach;;14;;;;;;;16.12.2010;;;;;;;;
131.079;xwnaipx;DE;45128;Grenzach;;16;;;;;;;07.04.2015;;;;;;;;
131.080;bunexifwmykqutpj;DE;41468;Rees;;9;;;;;;;16.01.2014;;;;;;;;
131.081;ijkjikzcaaijyautk;DE;67227;Kassel;;6;;;;;;;;;;;;;;;
131.082;iwzasykgud;DE;79410;Köln;;3;;;;;;;;;;;;;;;
131.083;zijhicyhzocjni;DE;22559;Geisenheim;;5;;;;;;;26.03.2014;;;;;;;;
131.085;fiimujn;DE;31785;Augsburg;;8;;;;;;;17.01.2012;;;;;;;;
131.086;beds;DE;41515;Erkrath;;9;;;;;;;23.03.2015;;;;;;;;
131.087;jigwarwqaq;DE;56626;Potsdam;;14;;;;;;;29.10.2014;;;;;;;;
131.088;cmcsse;DE;86672;Hamburg;;22;;;;;;;;;;;;;;;
131.089;phzkgpcyvzqsv;DE;69115;Hof;;6;;;;;;;;;;;;;;;
131.090;wforrzf;DE;46286;Bad-Sobernheim;;13;;;;;;;14.04.2015;;;;;;;;
131.091;kfx;DE;1127;Düren;;44;;;;;;;;;;;;;;;
131.092;twkjhffbmdiggz;DE;90556;Sigmaringen;;10;;;;;;;09.02.2015;;;;;;;;
131.093;vujkhxe;DE;53547;Marburg;;14;;;;;;;20.07.2011;;;;;;;;
131.094;fkgnfn;DE;63225;Beselare;;60;;;;;;;02.03.2011;;;;;;;;
131.095;lufrgrjrhyigswcgog;DE;82024;Bangplad, Bangkok;;60;;;;;;;;;;;;;;;
131.096;srhppdeetpwgo;DE;45701;Berlin;;19;;;;;;;09.04.2015;;;;;;;;
131.097;kktkvzb;DE;6295;Bautzen;;44;;;;;;;28.06.2012;;;;;;;;
131.098;qrh;DE;31655;Dudenhofen;;8;;;;;;;08.11.2012;;;;;;;;
131.099;gksewiesdnenzq;DE;68161;Moers;;6;;;;;;;;;;;;;;;
131.100;doehud;DE;17036;Quedlinburg;;5;;;;;;;19.05.2011;;;;;;;;
131.101;tyafriinmeyz;DE;93051;Deggendorf;;10;;;;;;;04.12.2014;;;;;;;;
131.102;fysdaimouulrci;DE;35463;Kehl;;7;;;;;;;10.12.2014;;;;;;;;
131.103;tlqslsdfaduhgk;DE;12043;Bielefeld;;17;;;;;;;;;;;;;;;
131.104;lfusirzughwfz;DE;83128;Augsburg;;21;;;;;;;;;;;;;;;
131.106;bwgtylnw;DE;8223;Alzenau;;44;;;;;;;04.12.2014;;;;;;;;
131.107;yys;DE;73479;Landau;;33;;;;;;;;;;;;;;;
131.108;nlb;DE;98617;Berlin;;11;;;;;;;30.06.2014;;;;;;;;
131.109;fgwtmmpbpisdjqqchy;DE;65185;Neuffen;;7;;;;;;;16.07.2013;;;;;;;;
131.110;clppawyslaqedsfafm;DE;82031;Suhl;;22;;;;;;;31.01.2014;;;;;;;;
131.111;d;DE;27637;Homberg;;15;;;;;;;;;;;;;;;
131.112;uiuntcc;DE;68165;Freiburg;;6;;;;;;;10.12.2014;;;;;;;;
131.113;rgpuklhfbwnmsddzzx;DE;14532;Viersen;;60;;;;;;;;;;;;;;;
131.114;cuqlyhqb;DE;95517;Bühl;;10;;;;;;;;;;;;;;;
131.115;b;DE;33729;Liebenburg;;8;;;;;;;;;;;;;;;
131.116;is;DE;91058;Bremen;;10;;;;;;;;;;;;;;;
131.117;ekwhsenviayz;DE;35745;Essen;;7;;;;;;;31.01.2011;;;;;;;;
131.118;xyiferrhbwj;DE;87437;Pulheim;;22;;;;;;;14.02.2012;;;;;;;;
131.119;niyrvkxquclj;DE;77876;Schechingen;;3;;;;;;;;;;;;;;;
131.120;gsjwfbjvbpjtfuqago;DE;86825;Passau;;22;;;;;;;21.11.2013;;;;;;;;
131.121;ugbdhqltnoyvy;DE;85238;Bonn;;21;;;;;;;;;;;;;;;
131.122;hsjkqbadjbeqkbe;DE;65550;Halle;;7;;;;;;;11.02.2015;;;;;;;;
131.123;elrzzsezq;DE;21614;Hartha;;15;;;;;;;;;;;;;;;
131.124;zfgusmn;DE;86529;Berlin;;22;;;;;;;02.04.2014;;;;;;;;
131.125;pyjglxsxgthx;DE;10711;Blankenburg;;17;;;;;;;;;;;;;;;
131.126;pskfpu;DE;72336;Dorsten;;3;;;;;;;16.03.2015;;;;;;;;
131.127;tchadkpjwzlwsetcav;DE;87600;Overath;;22;;;;;;;12.03.2012;;;;;;;;
131.128;aicpotmzzqzhr;DE;97708;Neu-Ulm;;6;;;;;;;05.03.2015;;;;;;;;
131.129;jugmndgfmhxwlzdphi;DE;30159;Treuen;;8;;;;;;;;;;;;;;;
